Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F12014,one_point,roulette,None,2611078197,[33.79400724879599; -42.972618381629204; -23.848589944572524; -26.902265707786526; -10.70751934088257; -57.80505911674021; -35.863698574535135; -31.771636510511996; 74.46039378731095; 48.63802272159248],370868338.97926193
F12014,one_point,roulette,None,3492328879,[-56.72797097758395; -44.82428208048197; -80.67701617651679; -64.83056423023008; 46.56439559248952; 45.5056090993514; -67.36887446253988; -23.416479938023514; 48.89885606857948; -16.06528939063405],289646423.50615454
F12014,one_point,roulette,None,533233167,[42.33206379448987; -61.84861306328357; -96.84344085379163; -73.10450820100687; -58.308238676946125; -46.89778002750658; 21.551744373171843; -82.3585188846433; 26.06552735526276; 61.83009418121364],268208104.08561742
F12014,one_point,roulette,None,253974363,[-36.424187653474036; -90.75602005434772; -57.03937580414462; -45.77519330660533; -52.618578489791304; 38.94426170029368; -18.36978747525538; -15.59222280068839; 46.98168910594018; -2.5678184076663513],525842503.27538395
F12014,one_point,roulette,None,3258904599,[-7.034019134656646; -47.83489293978862; -85.73710802637673; 85.03116642820544; -24.440446116468095; 13.73651948589125; 91.32695692152012; -38.3116315264594; 33.13771160076473; 39.90608538310974],202067379.97769699
F12014,one_point,roulette,None,3967855785,[-76.44437846480989; -37.81607060252594; -13.075055968507243; 47.66086709432463; -17.245412235067235; 42.634804478593; -14.994197843929015; 60.76868645102502; 71.44421473210437; -12.99746783772791],522879677.79431015
F12014,one_point,roulette,None,2562888490,[-35.29071030929056; 21.963129869949654; -19.228379087287408; 82.61987667865321; -5.738165654026247; -0.5653004759444116; 50.00002749606057; -18.83193039557287; 87.20354882583564; 13.56318879056522],304345745.01009154
F12014,one_point,roulette,None,3105912987,[9.576764970059415; -62.623894842259475; -41.17750899550128; 39.58274104196104; -83.64408335479625; -88.79174251271154; 25.771252025614544; 31.510034004682524; 91.27949708136453; -24.359322036987948],235940047.08186975
F12014,one_point,roulette,None,2930499971,[19.239083922148723; 62.405520718754474; -77.09691122093597; -60.21625886738493; -73.16834744414132; -74.51147582009519; 2.7927079635464906; 7.889400232123705; 36.22341284089242; 21.951255013155404],255174146.04100856
F12014,one_point,roulette,None,1880416941,[-91.09354321346237; 68.79164157438012; -83.57714023961876; -23.658932806337532; 7.494649903186627; 19.91317822855514; -31.83412888924593; 56.52722678156678; 15.92081803043321; -61.93199171831625],802077959.0470245
F12014,one_point,roulette,0.1,3667679705,[14.529417173592378; -1.5441593453697493; -63.12845820582771; 50.89855212555483; -85.41479253354507; -21.196740761165415; 94.32133722907312; -2.0679390263557167; 78.45063250564166; 68.36820845749585],159529783.82534286
