Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F12014,one_point,roulette,None,2157953378,[34.324461229815796; 13.902601556089252; -93.1435810852783; 79.52619413099654; -5.27495527842477; -78.7726299706915; 32.954822589271316; -27.03957318115218; 48.96048225288254; 40.8606240033601],7751338.570814587
F12014,one_point,roulette,None,4061987073,[38.21815696584915; 92.83430354210347; -33.46382953480911; -76.35679506797379; 19.03308049734366; -31.89814720617892; -11.40905638863697; 26.452139843213885; 89.17472138223008; 76.38652011250048],12793755.41285274
F12014,one_point,roulette,None,3590251317,[22.22779632743179; 68.0979555397679; -51.36849565050721; 65.83630570170857; 40.29276408998007; -67.06760705427487; -19.507557276721272; 20.614698169169458; 74.89436701935622; 33.89742539922588],8001804.532233586
F12014,one_point,roulette,None,4198506845,[9.869219778793251; 69.05642331264954; -33.14261234665328; 74.85029570517051; 34.81543768764425; -93.28111408669098; -12.431926662987095; 33.474045027675174; 87.99874712472862; -1.2082009335744317],8060456.675426774
F12014,one_point,roulette,None,2148943130,[43.80739222415448; 79.83473060137013; -62.5821370566709; 22.65956447842197; 94.6751165832735; -89.98514120712278; 44.93890575981197; -12.55600405777048; 70.10765087263815; 46.24659512652974],10110485.028026676
F12014,one_point,roulette,None,3560967658,[6.403070672650003; 98.02458143099523; -39.1185154233153; -48.71491092053388; 30.02865505116523; -81.0644861625326; -43.38562417229481; 29.55804654291464; 89.26697762384765; 3.1689586859063468],9853089.186494242
F12014,one_point,roulette,None,2184690647,[37.50602923130123; 82.7793729077292; -64.6127733052775; 37.77692167777377; 83.07900875450159; -84.26021669064916; -1.5059241790672786; 5.242702020510606; 73.56538970058054; 46.103190102633874],8920792.846903782
F12014,one_point,roulette,None,4227647296,[33.277659340149114; 77.79927412751658; -37.22591887471047; -76.30912747417575; -8.531187637223667; -56.047755113346895; -71.99423861965406; 38.90534206756203; 87.62956414633149; 52.089253941398965],9406701.86718135
F12014,one_point,roulette,None,3357196267,[21.83774812669361; 33.52041336904554; -78.59049192051735; 54.23354263862842; 35.634153702955444; -46.20371710612563; 30.431062093699495; -16.505067321852593; 61.0464095603767; 46.935075425781605],5427918.33979171
F12014,one_point,roulette,None,285417365,[28.87007252686101; 86.15465313127925; -46.17593394914727; -85.40043198575623; 5.215879445355242; -90.4165410107733; -75.1030316475731; 20.74475110947614; 82.75359828813271; 30.82477126098118],6890985.925649764
F12014,one_point,roulette,0.1,2267857456,[22.26915077096865; 99.16313959144577; -51.117836354145616; 50.265837355469415; 52.14478595057247; -19.063725759692744; -42.08085051082886; 19.368534088181576; 78.26982258544203; 67.7637407219967],8157306.047659254
F12014,one_point,roulette,0.1,4291728126,[47.219965625716725; 49.35732215980863; -43.65571229223999; -15.116231519521634; -6.718859161868764; -45.50182571136332; -77.43362673171679; 26.807020540385437; 85.6200480983876; 82.47287843240011],4630231.414942131
F12014,one_point,roulette,0.1,3606932482,[48.40823425038704; 74.35074190923322; -40.86404943928215; -0.24535539519602878; -15.878105433434513; -82.1883164192893; -80.16185982357874; 27.03202110273682; 85.11765325902186; 62.17385098482822],2310808.7184370146
F12014,one_point,roulette,0.1,1294796496,[38.1778588877641; 56.54051570578184; -85.93246893910353; 2.365698858821517; 1.3119573804548423; -60.97812189995659; -44.8607583209393; -33.8125357807953; 56.90032010025962; 59.785626726280384],5307575.800612213
F12014,one_point,roulette,0.1,2005611649,[35.07890851241024; 48.00719663816696; -64.6314923963312; 3.4020986664000645; 5.2821919070584755; -55.46615771973835; -4.477870073808816; 5.021270078949371; 69.93031954740471; 60.71366484288504],3475042.152428873
F12014,one_point,roulette,0.1,1217997678,[26.096747382618958; 97.20020066229665; -35.826219989966575; -2.4632186622335297; 80.61314382118186; -88.80045016314837; 34.09783330690914; 29.742431398612865; 91.01193230293799; 26.889500267389295],6237986.213877863
