Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F12014,one_point,roulette,None,2570811300,[21.763854208216387; 16.527431728063277; -72.84298160174822; -62.282662923997734; -62.32322558167376; -87.89477026995945; -78.14245459367488; -6.288515573201536; -11.971295473343389; 16.334715903292192; -72.70058633276449; 43.4455504407436; 26.085383062254024; -58.23731652103672; 37.3721311764977; 19.834434748734026; -17.270071922672187; 68.030118515004; -15.041718523284814; 51.283830626539526],70748960.92028601
F12014,one_point,roulette,None,526394143,[-59.8868722811249; -1.6213657358306648; -57.18032312445629; -32.976324240589605; -34.21974887505148; -70.18292534273004; -70.04701077336011; 25.813915842273573; -38.38283473814366; 50.35800663578095; -76.53849451138876; 11.36883027755205; 76.15386036152643; -74.78332085101917; 78.14343747110476; -74.71883374476448; -6.142152829622489; 67.21940787841245; 66.80811221726563; 74.41537849075578],57695763.16942011
F12014,one_point,roulette,None,2675050591,[-68.74620558681907; 86.19503228125063; -45.57380215680473; 11.448684997988195; 23.508195697597984; -72.52926283957567; 13.784887564273205; 52.00590414779356; -70.83464238398514; 99.57660717492365; -97.91166265610866; 47.35691961548426; 58.11656390355074; -12.953178394636595; 32.20247887714868; -11.799971451349677; -4.630287689274155; 59.824877262812606; 4.656721415792646; 90.10768714655245],38840649.983088486
F12014,one_point,roulette,None,2382060102,[-51.67773228247425; 59.832029298232044; -84.74855569065707; 33.627808991413275; 95.84314002785129; -31.67933479402008; -15.626621494171246; 74.74330144935547; 78.51020760975513; 52.7777143995844; -86.72948766981045; 38.93323525534868; 93.3044577268073; -6.57382480198973; 53.02345870284094; -35.33086907170767; -6.88895319136158; 76.41831612435536; 18.569188437741445; 36.57017922462825],43789636.1668124
F12014,one_point,roulette,None,1486577904,[64.87288894260232; -28.00254148753953; -71.21752790218288; -52.73661157566196; -46.082374980911744; -68.46186079880114; -98.18387880153988; -4.7037446931393845; -24.627232121506566; -12.827425649987333; 37.95005354335041; 93.10414770634742; 59.27533668067869; -79.22894584830613; 59.16365634491899; -27.24213630880466; -11.354228480325304; 67.54957345496732; 9.46412986549197; 53.25275224878837],59746016.39977296
F12014,one_point,roulette,None,4235538036,[73.79566996519915; 30.767742828388947; -41.10466564996449; 30.46047012847032; 84.13512024163222; -69.63393574205598; -60.3947884193073; -23.76720035934781; 79.79375264933245; -19.790429342023245; -40.478816042293154; 41.664175093379185; 67.6813047674292; 1.6328609331080344; 53.40806427413406; -8.861239267610998; -18.98517789093195; 60.09453307613279; -24.253516286497586; 97.86547023463336],52228551.365031466
F12014,one_point,roulette,None,1949252502,[82.22403589687175; 93.65516695264407; -50.20068113864562; -67.84912104972585; -24.427491809217656; -85.62465619431379; 56.33244469049811; -84.36630572538024; 34.22633109240152; 68.19328306517497; -97.69850927105821; 57.337409280756646; 59.512693493883404; -37.28164025887069; 56.938967879807024; -53.47659150787813; -13.29380169329552; 62.064390467368725; 59.939571490114474; 75.22851322993276],59075306.87760405
F12014,one_point,roulette,None,4201570287,[67.7559512683334; 30.610289438928362; -46.51356117784688; -94.50998969496747; -7.909007875026845; -68.6981918917711; 0.7473863352254142; -79.69292469214616; 0.3172914392556976; 56.388703579843394; 46.15270005058366; 47.8320218852341; 76.26954345615081; -79.4690680849619; 45.108546497901955; -41.73466183602499; -10.680256428468084; 61.15283188953268; 30.497441431703805; 85.17934847662448],37823284.10121669
F12014,one_point,roulette,None,1188640285,[85.35404370380269; 83.38889281459387; -78.75865950548884; 73.32235668010588; -76.0080520627522; -63.8692523386412; -11.475316305824677; -15.987937160520957; -1.6381062146797092; -38.93244926233545; -81.15090050830393; 62.37594864697243; 62.776838358107454; -0.0023658435647178067; 45.47241253348662; -7.097932163402774; -9.180266856580758; 72.15965784935523; -16.679099459759556; 70.33469623321892],67127082.27031487
F12014,one_point,roulette,None,1990197764,[52.4352937543112; 27.263816862266538; -41.84320366136416; -16.10313427382117; 92.3167258934395; -67.15935763251879; -27.178513485938765; -90.15135397200349; 62.61145368099375; 93.42087863750814; 28.70236760390165; 94.34473003595966; 69.93807664568368; -80.44796798520058; 46.20344660764283; -57.3177998960775; -17.309627671525035; 62.02217890357849; 45.30922689669558; 96.18635714510526],31333596.31901468
