Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F92005,one_point,tournament,0.5,1150353771,[2.8949140358103715; -0.5483613166820067; -0.9528707179152285; -1.2431814811065003; 2.4499105158583756; -3.270116855671934; 1.9818883656202226; -3.6728660583075756; 0.05070869650506271; -3.237337566780616],-324.7318627396928
F92005,one_point,tournament,0.5,864807903,[1.8572811841367614; -1.6096763989520655; -0.981688554829244; -2.2489439483047766; 2.521122846702494; -3.2521891728245977; 1.061192753238025; -3.6465444768803055; 0.12400770684886986; -3.3240274195348416],-326.12512212163796
F92005,one_point,tournament,0.5,886067759,[1.8888769212464886; -0.6109188830795276; -1.045681703461506; -2.192947458851695; 2.4889387166788968; -2.3021530551155567; 1.0264845857375828; -3.6379751365574897; 0.10579421546248113; -3.2366087813040756],-325.3117948700859
F92005,one_point,tournament,0.5,4067706628,[1.9426557464087013; -1.5539746918939445; -1.0471399978533347; -3.249007114844309; 2.486269197209575; -3.294939731579408; -0.0460718429525393; -3.6767297962533227; 0.04506938994212817; -3.252081159115383],-325.9406185035797
F92005,one_point,tournament,0.5,3904698792,[1.9087648455675508; -1.5510764481269934; 0.03916279740049333; -1.2657623072757995; 2.422709570396817; -3.2473220101930425; 0.9597066064772193; -3.628566225457922; 0.07850533186648878; -3.3307632563784972],-324.6431162177113
F92005,one_point,tournament,0.5,2394466105,[1.9372321303686864; -1.5576719557320304; -1.0175416308534002; -2.265521950089233; 2.564354371847662; -3.3610298305835706; 0.8886742832606034; -3.664786324042062; 0.11177462206706679; -4.253672749467178],-324.91580633803534
F92005,one_point,tournament,0.5,151466288,[2.868067468777852; -1.5339477635554055; -0.9975786347006625; -2.292106499231127; 2.5359904026706097; -3.2360516746080714; 1.002569920376458; -3.686422467917202; 0.15840092049341692; -3.322043977902852],-325.5258896298536
F92005,one_point,tournament,0.5,2888181777,[0.9281626138251822; -1.500080152079113; -1.0175754210742016; -2.2885582427285343; 2.5486824850373253; -3.2215085969220003; 0.969187861146815; -3.613390148975355; 0.10818215478281079; -3.2813457747160415],-325.45982572388675
F92005,one_point,tournament,0.5,424323199,[1.929796798481843; -1.554368296266234; -1.9185898261733336; -2.263967049339337; 2.5580847702036733; -3.2503288809706756; 0.9563817279623414; -3.731471072278012; 0.06730377308435465; -3.2009690641107813],-325.7597881151923
F92005,one_point,tournament,0.5,2728873843,[1.9038647638907609; -1.5998959596665152; -1.0047285243962123; -2.233026390281471; 2.483152040356095; -3.3256534829391193; 0.9607203706467837; -3.691360168605927; 0.19465077559211874; -2.223305666739689],-326.05651202090223
