Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F92005,one_point,tournament,0.5,2212345837,[1.0; -0.3333333333333339; -1.0; -4.333333333333333; 3.666666666666666; -2.3333333333333335; 1.0; -3.666666666666667; 0.33333333333333304; -0.3333333333333339],-284.39257075936524
F92005,one_point,tournament,0.5,2142782672,[3.0; 0.33333333333333304; 1.0; -4.333333333333333; 3.666666666666666; -2.3333333333333335; 1.0; -3.666666666666667; -1.0; -1.0],-285.9659341725659
F92005,one_point,tournament,0.5,3480186785,[1.0; -3.666666666666667; -1.0; -5.0; 3.666666666666666; -2.3333333333333335; -1.0; -3.666666666666667; 1.0; -2.3333333333333335],-286.27788515175416
F92005,one_point,tournament,0.5,4266325452,[1.0; -0.3333333333333339; -1.0; -0.3333333333333339; 0.33333333333333304; -4.333333333333333; 1.0; 0.33333333333333304; 1.0; -2.3333333333333335],-279.71380827119043
F92005,one_point,tournament,0.5,4281744381,[-1.0; -1.666666666666667; -1.666666666666667; -2.3333333333333335; 2.333333333333333; -4.333333333333333; -1.0; -3.666666666666667; 0.33333333333333304; -2.3333333333333335],-280.24549358770383
F92005,one_point,tournament,0.5,2557639430,[1.0; -3.666666666666667; -1.0; -2.3333333333333335; 4.333333333333332; -3.0; 1.0; -1.666666666666667; -1.0; -2.3333333333333335],-289.5079002295978
F92005,one_point,tournament,0.5,117176632,[3.666666666666666; -1.666666666666667; 1.0; -2.3333333333333335; 0.33333333333333304; -4.333333333333333; -1.0; -3.666666666666667; -1.666666666666667; -4.333333333333333],-280.64828820624143
F92005,one_point,tournament,0.5,845492104,[3.0; -0.3333333333333339; 1.0; -4.333333333333333; -0.3333333333333339; -4.333333333333333; 1.0; -3.666666666666667; -1.0; -2.3333333333333335],-286.92338102539435
F92005,one_point,tournament,0.5,370279678,[3.0; -1.666666666666667; -1.0; -0.3333333333333339; 1.666666666666666; -0.3333333333333339; 3.0; -3.666666666666667; -1.666666666666667; -4.333333333333333],-285.9673988475482
F92005,one_point,tournament,0.5,3021844391,[3.0; -1.666666666666667; 1.0; -2.3333333333333335; 1.666666666666666; -2.3333333333333335; 2.333333333333333; -3.666666666666667; -1.0; -4.333333333333333],-288.7635694460769
