Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
ThreeBarTruss,arithmetic,tournament,0.2,1528106572,[0.7924332937236442; 0.39798593969313],263.93257622130506
ThreeBarTruss,arithmetic,tournament,0.2,1434896412,[0.7841660923104726; 0.42118088453934455],263.913753033651
ThreeBarTruss,arithmetic,tournament,0.2,4208086865,[0.7919520785127481; 0.39931313645571176],263.9291876820293
ThreeBarTruss,arithmetic,tournament,0.2,1974984076,[0.7920173875914155; 0.3990225712107204],263.9186033544897
ThreeBarTruss,arithmetic,tournament,0.2,3239946852,[0.7840228185518122; 0.4221030099968517],263.9654416408758
ThreeBarTruss,arithmetic,tournament,0.2,3314738274,[0.787615554218726; 0.41136347397127204],263.907667139552
ThreeBarTruss,arithmetic,tournament,0.2,873566783,[0.7863753587714544; 0.41503144199127584],263.92368369724744
ThreeBarTruss,arithmetic,tournament,0.2,3706621179,[0.7840499010165777; 0.42168645126636606],263.931445845622
ThreeBarTruss,arithmetic,tournament,0.2,904948366,[0.7896521617173109; 0.40596771949892474],263.9441312814632
ThreeBarTruss,arithmetic,tournament,0.2,2558513226,[0.7905681963421063; 0.4031856308452759],263.92501613409615
