Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
ThreeBarTruss,arithmetic,tournament,0.2,3152606234,[0.3338712364159462; 0.472251062887305],179.0760899138715
ThreeBarTruss,arithmetic,tournament,0.2,502777087,[0.33419410496774765; 0.47193135749275394],179.1008778913807
ThreeBarTruss,arithmetic,tournament,0.2,2027548985,[0.33375657526802915; 0.47151924697245295],178.997677252294
ThreeBarTruss,arithmetic,tournament,0.2,267009712,[0.33385326207494215; 0.4714410760470368],179.00653231848017
ThreeBarTruss,arithmetic,tournament,0.2,3640971910,[0.3350280711763801; 0.4713515261034614],179.1854885170132
ThreeBarTruss,arithmetic,tournament,0.2,1163225319,[0.3352109897402277; 0.47349315842153317],179.39115143158102
ThreeBarTruss,arithmetic,tournament,0.2,3266062307,[0.33536862986743987; 0.46997770161969077],179.1265431125723
ThreeBarTruss,arithmetic,tournament,0.2,3876951324,[0.33392040121278344; 0.4718443673526375],179.05036376490048
ThreeBarTruss,arithmetic,tournament,0.2,2470643382,[0.3345572377675641; 0.4710770034238321],179.0880894505771
ThreeBarTruss,arithmetic,tournament,0.2,158600520,[0.33404885228667136; 0.4712927976860263],179.0252757483981
